city,datetime,target_latitude,target_longitude,grid_latitude,grid_longitude,dewpoint_temperature_2m,evaporation,experiment_version,geopotential_height,high_vegetation_cover,high_vegetation_type,lake_cover,land_sea_mask,low_vegetation_cover,low_vegetation_type,runoff,skin_reservoir_content,skin_temperature,soil_temperature_level1,soil_temperature_level2,soil_temperature_level3,soil_temperature_level4,soil_type,soil_volume_water_content_level1,soil_volume_water_content_level2,soil_volume_water_content_level3,soil_volume_water_content_level4,surface_pressure,temperature_2m,total_precipitation,u_component_wind_10m,v_component_wind_10m
Kampala,1981-12-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.46875,-0.0036476208,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0018688962,0.00016243756,294.1831,294.72217,294.73267,294.7583,294.74,3.000045778462759,0.39979553,0.39945984,0.39711,0.4037323,88211.125,294.0454,0.0052048927,0.2790041,0.9051657
Kampala,1982-01-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.5183,-0.003617228,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0019379407,0.00015242398,294.32764,294.8462,294.8235,294.75195,294.72607,3.000045778462759,0.4006958,0.4010315,0.4006195,0.40371704,88146.875,294.0713,0.0050178515,0.40642452,0.7833433
Kampala,1982-02-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.02612,-0.0042574825,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0013695434,0.00010302663,295.16357,295.68994,295.58032,295.2788,294.854,3.000045778462759,0.37879944,0.37953186,0.38308716,0.39900208,88109.94,295.0027,0.0038064409,0.059036255,0.4826479
Kampala,1982-03-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.9956,-0.00409438,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.001147233,0.00011315942,295.31616,295.89917,295.84644,295.6211,295.14453,3.000045778462759,0.38041687,0.37835693,0.3777008,0.3920288,88110.44,295.00317,0.004457317,0.49585056,1.3077011
Kampala,1982-04-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.91675,-0.0034277965,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0013832077,0.00020375848,294.36572,294.93335,295.011,295.25586,295.33472,3.000045778462759,0.40411377,0.4019165,0.3859558,0.38809204,88200.94,294.30884,0.0063028373,0.015675545,1.2837868
Kampala,1982-05-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.73315,-0.0031622536,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.003121771,0.00025215745,293.9275,294.45215,294.53223,294.7378,295.14087,3.000045778462759,0.41500854,0.4165802,0.41726685,0.4083252,88281.19,293.84985,0.007795022,0.051530838,1.425128
Kampala,1982-06-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.3208,-0.0034533134,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0026222616,0.00015348196,293.86548,294.40796,294.4629,294.62646,294.9087,3.000045778462759,0.40382385,0.40444946,0.40290833,0.41412354,88421.81,293.74512,0.004693498,-0.066794395,1.0221663
Kampala,1982-07-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,290.65918,-0.003550822,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0016407967,0.0001256764,293.54712,294.10693,294.1411,294.26758,294.66235,3.000045778462759,0.39808655,0.3971405,0.39112854,0.405838,88371.875,293.385,0.0042120917,-0.19645119,0.9339628
Kampala,1982-08-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,290.7744,-0.0034730062,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0012920722,0.00013035536,293.56958,294.15063,294.17798,294.2517,294.47095,3.000045778462759,0.3928833,0.39152527,0.38703918,0.3996277,88361.94,293.2732,0.0037825205,-0.24473,0.18844604
Kampala,1982-09-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.45142,-0.0036947895,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0011633784,0.000169456,294.20288,294.7439,294.7273,294.64453,294.46387,3.000045778462759,0.39326477,0.38987732,0.37702942,0.393219,88298.56,293.8894,0.004700641,-0.04349518,0.05051422
Kampala,1982-10-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.3479,-0.0034058206,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0013761371,0.00020426512,293.84912,294.3662,294.3872,294.44238,294.5078,3.000045778462759,0.405365,0.40454102,0.39907837,0.3922577,88212.44,293.39624,0.0052017327,0.28580666,-0.29851532
Kampala,1982-11-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.5105,-0.0034710658,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0020274147,0.00031155348,293.94385,294.4829,294.50146,294.53198,294.48975,3.000045778462759,0.4145813,0.41496277,0.41210938,0.40278625,88227.44,293.46533,0.0069376426,0.11994457,-0.6396923
Kampala,1982-12-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.54346,-0.00371275,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0023740977,0.00019365549,294.4253,294.8933,294.80518,294.5901,294.48535,3.000045778462759,0.39183044,0.3934784,0.40127563,0.41397095,88234.44,294.16406,0.0033571254,-0.0024614334,-0.11686993
Kampala,1983-01-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.21118,-0.0038769124,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.001240246,0.00012035668,295.114,295.58496,295.48364,295.16455,294.69067,3.000045778462759,0.3571167,0.3554077,0.3590393,0.4000702,88274.125,295.0083,0.003104825,-0.36137676,0.09067631
Kampala,1983-02-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,292.21313,-0.0039460296,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.00070203096,8.8095665e-05,295.92285,296.3562,296.18994,295.77588,295.08032,3.000045778462759,0.3478241,0.33836365,0.3313141,0.38635254,88204.0,295.7417,0.003048378,-0.10022354,1.0865049
Kampala,1983-03-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,292.73413,-0.0037056282,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0006919876,0.00012125075,295.7788,296.28638,296.26074,296.07837,295.50244,3.000045778462759,0.37660217,0.3661499,0.337265,0.3756256,88191.625,295.63135,0.004791754,0.32328796,1.5955067
Kampala,1983-04-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,292.43164,-0.0035774438,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.001025103,0.00016199052,295.06714,295.61816,295.66162,295.75244,295.68213,3.000045778462759,0.40374756,0.40264893,0.38467407,0.37402344,88219.81,294.93042,0.0058708973,0.16632652,1.6629505
Kampala,1983-05-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,292.2666,-0.0035293726,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0023607612,0.00019821525,294.7832,295.323,295.3567,295.44336,295.62305,3.000045778462759,0.4091339,0.41036987,0.41012573,0.39237976,88241.69,294.62793,0.007032023,-0.09618187,1.6614628
Kampala,1983-06-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.72998,-0.0034088865,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0016752034,0.00015901029,294.32202,294.90308,294.99536,295.22778,295.4978,3.000045778462759,0.40319824,0.40385437,0.4016571,0.40055847,88341.5,294.10693,0.0049644625,0.047263145,0.7248049
Kampala,1983-07-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,290.82007,-0.0035211816,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0013312548,0.00012949109,293.88135,294.47046,294.5293,294.73853,295.21875,3.000045778462759,0.38154602,0.37919617,0.3848877,0.3986969,88348.44,293.70435,0.0032339396,-0.061131477,0.7276983
Kampala,1983-08-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.3269,-0.0033853846,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0010299832,0.00015996397,293.97168,294.5315,294.55786,294.66577,294.97266,3.000045778462759,0.39268494,0.39031982,0.37748718,0.39164734,88398.06,293.61548,0.0041223136,-0.011954308,-0.3372879
Kampala,1983-09-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.54272,-0.00356959,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0009058118,0.00014783442,294.23145,294.8025,294.79785,294.78784,294.84448,3.000045778462759,0.39404297,0.39149475,0.38082886,0.38737488,88306.19,293.78296,0.004192576,-0.09680271,-0.33959198
Kampala,1983-10-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.65967,-0.0034559518,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0014388636,0.000252828,294.0625,294.6162,294.63818,294.7058,294.81982,3.000045778462759,0.412323,0.4128723,0.40644836,0.39224243,88262.19,293.55957,0.006050407,0.26086235,-0.2562847
Kampala,1983-11-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.6621,-0.0032274192,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0023505166,0.00020687282,293.9519,294.49683,294.54858,294.6609,294.75195,3.000045778462759,0.4112854,0.41246033,0.41209412,0.40612793,88336.625,293.5432,0.00632357,0.29891396,-0.299675
Kampala,1983-12-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,290.60303,-0.0037367223,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0023007318,0.00016756356,293.85083,294.38672,294.3933,294.43726,294.63403,3.000045778462759,0.40045166,0.40377808,0.4103546,0.41288757,88255.0,293.6599,0.004249111,0.4115038,0.09837341
Kampala,1984-01-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,290.31396,-0.003999764,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0014129132,0.000107854605,294.34253,294.90112,294.84814,294.68457,294.59033,3.000045778462759,0.3597412,0.35714722,0.3653717,0.40275574,88123.75,294.16406,0.003526254,0.19331455,0.4728632
Kampala,1984-02-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.36108,-0.00420863,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0008653924,0.00010110438,294.7517,295.36426,295.32324,295.14844,294.73853,3.000045778462759,0.3717041,0.36372375,0.3497162,0.39001465,88015.94,294.656,0.0041140146,0.21181488,1.7568884
Kampala,1984-03-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.68018,-0.0039113434,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0008198023,0.00011405349,294.91724,295.46362,295.40796,295.2583,294.95288,3.000045778462759,0.3833313,0.3789978,0.3598938,0.3813324,88069.5,294.68018,0.0046632392,0.81674576,1.552947
Kampala,1984-04-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.77368,-0.0034961114,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.002404064,0.00021800399,294.17676,294.71606,294.7478,294.88623,295.04395,3.000045778462759,0.41316223,0.41371155,0.40411377,0.38713074,88151.75,294.05615,0.008328475,0.25918674,2.0021257
Kampala,1984-05-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,291.57227,-0.0036184937,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0018517002,0.00016498566,294.08325,294.65283,294.71167,294.82568,294.95557,3.000045778462759,0.40766907,0.4080963,0.40602112,0.405365,88185.81,293.98364,0.0051153707,0.095760345,1.3794622
Kampala,1984-06-01,0.3152,32.5816,0.30000000000000104,32.60000000000005,290.39526,-0.003506449,0001,11573.29113153154,0.49881738971205347,19.0,0.0720095219202539,0.9279904780797461,0.5011826102879465,1.0000305189751728,0.0014513656,0.00012026727,293.27344,293.89014,293.9995,294.31274,294.75952,3.000045778462759,0.39367676,0.3927765,0.39093018,0.40187073,88347.81,293.33716,0.003771638,-0.086149216,1.3549528
