year,month,region,rainfall,runoff
2028,Nov.,Lake Victoria,15.691,300.321
2028,Nov.,Simiyu,5.961,300.321
2028,Nov.,Victoria Nile,,5601.258
2028,Oct.,Kagera,0.843,9.382
2028,Oct.,Lake Victoria,1.924,23.649
2028,Oct.,Simiyu,0.172,23.649
2028,Oct.,Victoria Nile,,742.864
2028,Sept.,Kagera,1.666,86.469
2028,Sept.,Lake Victoria,3.967,40.085
2028,Sept.,Simiyu,0.584,40.085
2028,Sept.,Victoria Nile,,869.242
2029,April,Kagera,1.031,570.182
2029,April,Lake Victoria,6.861,798.847
2029,April,Simiyu,6.09,798.847
2029,April,Victoria Nile,,3587.961
2029,Aug.,Kagera,0.337,12.525
2029,Aug.,Lake Victoria,3.324,24.944
2029,Aug.,Simiyu,0.079,24.944
2029,Aug.,Victoria Nile,,1037.908
2029,Dec.,Kagera,1.137,5.631
2029,Dec.,Lake Victoria,2.296,27.437
2029,Dec.,Simiyu,3.47,27.437
2029,Dec.,Victoria Nile,,580.721
2029,Feb.,Kagera,4.085,210.067
2029,Feb.,Lake Victoria,21.804,68.734
2029,Feb.,Simiyu,6.549,68.734
2029,Feb.,Victoria Nile,,5101.226
2029,Jan.,Kagera,2.722,78.997
2029,Jan.,Lake Victoria,0.789,256.238
2029,Jan.,Simiyu,4.276,256.238
2029,Jan.,Victoria Nile,,1155.599
2029,July,Kagera,0.494,7.242
2029,July,Lake Victoria,3.257,31.952
2029,July,Simiyu,0.333,31.952
2029,July,Victoria Nile,,675.717
2029,June,Kagera,1.001,9.201
2029,June,Lake Victoria,1.35,40.622
2029,June,Simiyu,0.133,40.622
2029,June,Victoria Nile,,831.6
2029,March,Kagera,0.359,5.851
2029,March,Lake Victoria,0.237,8.834
2029,March,Simiyu,0.251,8.834
2029,March,Victoria Nile,,581.506
2029,May,Kagera,5.378,875.607
2029,May,Lake Victoria,10.446,52.261
2029,May,Simiyu,0.458,52.261
2029,May,Victoria Nile,,3742.57
2029,Nov.,Kagera,2.843,7.424
2029,Nov.,Lake Victoria,1.461,12.148
2029,Nov.,Simiyu,1.571,12.148
2029,Nov.,Victoria Nile,,547.267
2029,Oct.,Kagera,1.572,22.822
2029,Oct.,Lake Victoria,3.355,23.941
2029,Oct.,Simiyu,3.725,23.941
2029,Oct.,Victoria Nile,,1371.398
2029,Sept.,Kagera,6.427,18.276
2029,Sept.,Lake Victoria,5.289,22.076
2029,Sept.,Simiyu,6.951,22.076
2029,Sept.,Victoria Nile,,1274.223
2030,April,Kagera,15.408,2220.192
2030,April,Lake Victoria,11.987,116.852
2030,April,Simiyu,3.588,116.852
2030,April,Victoria Nile,,2190.651
2030,Aug.,Kagera,0.285,1.328
2030,Aug.,Lake Victoria,1.805,1.582
2030,Aug.,Simiyu,0.208,1.582
2030,Aug.,Victoria Nile,,350.465
2030,Dec.,Kagera,3.107,251.784
2030,Dec.,Lake Victoria,8.102,600.132
2030,Dec.,Simiyu,11.082,600.132
2030,Dec.,Victoria Nile,,3095.509
2030,Feb.,Kagera,3.618,4.66
2030,Feb.,Lake Victoria,1.962,5.835
2030,Feb.,Simiyu,0.546,5.835
2030,Feb.,Victoria Nile,,419.267
2030,Jan.,Kagera,1.389,101.852
2030,Jan.,Lake Victoria,9.806,290.551
2030,Jan.,Simiyu,2.886,290.551
2030,Jan.,Victoria Nile,,3390.944
2030,July,Kagera,0.267,0.397
2030,July,Lake Victoria,0.833,1.723
2030,July,Simiyu,0.181,1.723
2030,July,Victoria Nile,,312.532
2030,June,Kagera,0.416,0.524
2030,June,Lake Victoria,2.003,2.202
2030,June,Simiyu,0.429,2.202
2030,June,Victoria Nile,,436.503
2030,March,Kagera,0.108,17.685
2030,March,Lake Victoria,0.89,5.492
2030,March,Simiyu,0.342,5.492
2030,March,Victoria Nile,,338.872
2030,May,Kagera,0.447,0.736
2030,May,Lake Victoria,3.672,2.817
2030,May,Simiyu,0.107,2.817
2030,May,Victoria Nile,,248.054
2030,Nov.,Kagera,0.98,12.143
2030,Nov.,Lake Victoria,2.14,1.006
2030,Nov.,Simiyu,0.406,1.006
2030,Nov.,Victoria Nile,,926.166
2030,Oct.,Kagera,3.423,4.111
2030,Oct.,Lake Victoria,5.24,7.166
2030,Oct.,Simiyu,7.851,7.166
2030,Oct.,Victoria Nile,,680.388
2030,Sept.,Kagera,2.288,398.86
2030,Sept.,Lake Victoria,5.551,25.138
2030,Sept.,Simiyu,0.626,25.138
2030,Sept.,Victoria Nile,,2399.55
2031,April,Kagera,5.974,736.549
2031,April,Lake Victoria,9.991,152.401
2031,April,Simiyu,4.783,152.401
2031,April,Victoria Nile,,2565.392
2031,Aug.,Kagera,0.42,8.124
2031,Aug.,Lake Victoria,3.836,4.978
2031,Aug.,Simiyu,1.83,4.978
2031,Aug.,Victoria Nile,,975.184
2031,Dec.,Kagera,1.038,162.862
2031,Dec.,Lake Victoria,2.409,11.88
2031,Dec.,Simiyu,2.986,11.88
2031,Dec.,Victoria Nile,,808.066
2031,Feb.,Kagera,0.456,0.489
2031,Feb.,Lake Victoria,0.287,0.625
2031,Feb.,Simiyu,1.272,0.625
2031,Feb.,Victoria Nile,,493.024
2031,Jan.,Kagera,0.94,133.634
2031,Jan.,Lake Victoria,2.317,41.244
2031,Jan.,Simiyu,1.448,41.244
2031,Jan.,Victoria Nile,,632.586
2031,July,Kagera,1.041,0.038
2031,July,Lake Victoria,1.523,0.107
2031,July,Simiyu,0.034,0.107
2031,July,Victoria Nile,,565.61
2031,June,Kagera,2.074,12.247
2031,June,Lake Victoria,10.634,0.442
2031,June,Simiyu,0.799,0.442
2031,June,Victoria Nile,,3243.37
2031,March,Kagera,0.881,8.185
2031,March,Lake Victoria,0.557,0.386
2031,March,Simiyu,0.384,0.386
2031,March,Victoria Nile,,396.908
2031,May,Kagera,1.784,213.843
2031,May,Lake Victoria,6.059,248.438
2031,May,Simiyu,2.225,248.438
2031,May,Victoria Nile,,2060.089
2031,Nov.,Kagera,2.729,24.869
2031,Nov.,Lake Victoria,6.606,170.53
2031,Nov.,Simiyu,8.4,170.53
2031,Nov.,Victoria Nile,,2009.317
2031,Oct.,Kagera,3.196,6.066
2031,Oct.,Lake Victoria,9.32,0.07
2031,Oct.,Simiyu,3.95,0.07
2031,Oct.,Victoria Nile,,533.532
2031,Sept.,Kagera,2.935,0.684
2031,Sept.,Lake Victoria,7.619,0.076
2031,Sept.,Simiyu,0.171,0.076
2031,Sept.,Victoria Nile,,544.177
2032,April,Kagera,16.416,2164.038
2032,April,Lake Victoria,22.497,939.541
2032,April,Simiyu,15.536,939.541
2032,April,Victoria Nile,,4004.259
2032,Aug.,Kagera,0.326,0.003
2032,Aug.,Lake Victoria,0.438,1.114
2032,Aug.,Simiyu,0.11,1.114
2032,Aug.,Victoria Nile,,417.24
2032,Dec.,Kagera,0.411,126.385
2032,Dec.,Lake Victoria,5.383,34.499
2032,Dec.,Simiyu,4.592,34.499
2032,Dec.,Victoria Nile,,914.751
2032,Feb.,Kagera,0.751,0.13
2032,Feb.,Lake Victoria,0.929,4.31
2032,Feb.,Simiyu,3.973,4.31
2032,Feb.,Victoria Nile,,521.784
2032,Jan.,Kagera,0.101,0.201
2032,Jan.,Lake Victoria,0.276,0.861
2032,Jan.,Simiyu,0.396,0.861
2032,Jan.,Victoria Nile,,666.467
2032,July,Kagera,0.642,0.003
2032,July,Lake Victoria,1.438,1.428
2032,July,Simiyu,0.254,1.428
2032,July,Victoria Nile,,368.018
2032,June,Kagera,0.187,0.004
2032,June,Lake Victoria,0.559,1.82
2032,June,Simiyu,0.016,1.82
2032,June,Victoria Nile,,467.806
2032,March,Kagera,0.843,1.473
2032,March,Lake Victoria,0.699,2.335
2032,March,Simiyu,0.367,2.335
2032,March,Victoria Nile,,417.039
2032,May,Kagera,3.614,948.19
2032,May,Lake Victoria,10.621,1599.826
2032,May,Simiyu,8.557,1599.826
2032,May,Victoria Nile,,3577.95
2032,Nov.,Kagera,9.062,8.087
2032,Nov.,Lake Victoria,3.651,3.474
2032,Nov.,Simiyu,10.898,3.474
2032,Nov.,Victoria Nile,,176.401
2032,Oct.,Kagera,8.315,29.312
2032,Oct.,Lake Victoria,5.53,0.723
2032,Oct.,Simiyu,4.532,0.723
2032,Oct.,Victoria Nile,,518.477
2032,Sept.,Kagera,0.216,0.002
2032,Sept.,Lake Victoria,0.56,0.869
2032,Sept.,Simiyu,0.131,0.869
2032,Sept.,Victoria Nile,,226.536
